Outcome,Diff,Home,MP,FGA,FG%,3PA,3P%,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,-8,1,37:49:00,21,0.476,10,0.3,10,0.9,1,3,4,8,1,0,3,3,32,24.9,0
1,10,0,34:02:00,20,0.6,7,0.429,8,1,0,5,5,5,3,0,3,4,35,29.2,23
1,2,0,38:24:00,20,0.5,7,0.143,9,0.778,0,3,3,5,1,1,2,3,28,20.1,-1
0,-3,0,38:48:00,28,0.321,10,0.3,8,0.875,0,9,9,7,0,2,1,3,28,18.4,4
1,3,0,38:12:00,19,0.368,9,0.444,6,0.833,1,6,7,13,2,0,1,2,23,23.9,9
0,-1,1,39:04:00,16,0.688,11,0.727,3,1,0,5,5,9,2,0,7,1,33,28.6,7
0,-9,0,37:18:00,26,0.577,13,0.385,4,1,1,1,2,4,0,1,1,0,39,30.3,-11
0,-6,0,38:08:00,23,0.391,10,0.3,2,0.5,1,5,6,6,3,0,3,2,22,14.7,-3
0,-4,1,40:21:00,33,0.576,16,0.438,15,1,0,4,4,5,0,0,2,1,60,46.8,4
1,11,1,44:15:00,17,0.471,9,0.333,12,0.917,1,6,7,6,1,1,4,2,30,24.5,7
0,-8,0,37:34:00,10,0.6,5,0.4,14,0.929,0,4,4,5,2,1,5,1,27,24,-11
0,-8,1,36:57:00,12,0.167,7,0.286,3,1,0,1,1,10,0,2,2,3,9,6.9,-13
1,5,0,40:19:00,19,0.211,9,0.111,13,1,2,4,6,6,1,0,2,3,22,14.9,18
0,-24,0,34:31:00,15,0.267,6,0.167,4,1,0,6,6,11,0,0,4,4,13,8,-19
0,-6,0,36:30:00,20,0.35,9,0.444,6,0.833,3,5,8,8,0,1,4,2,23,16.5,-5
1,23,0,27:15:00,10,0.4,4,0.25,4,1,0,2,2,12,2,0,1,0,13,17.6,12
1,17,1,29:38:00,15,0.467,9,0.556,8,1,1,4,5,5,1,0,1,3,27,23.5,28
1,4,1,36:41:00,18,0.5,11,0.273,9,0.778,0,2,2,6,0,0,4,1,28,18.6,-4
0,-20,0,29:54:00,15,0.333,9,0.222,5,0.8,0,2,2,7,1,0,2,2,16,10.8,-13
1,11,1,37:27:00,12,0.583,6,0.667,7,0.857,0,4,4,10,2,1,4,2,24,24.1,14
0,-23,1,40:44:00,18,0.5,8,0.25,11,0.818,0,7,7,8,0,0,4,0,29,22.9,-10
0,-12,1,38:34:00,24,0.333,12,0.167,8,1,0,3,3,7,1,0,3,3,26,15,-9
1,28,1,28:59:00,15,0.6,12,0.667,5,1,0,2,2,6,0,0,3,2,31,25.1,28
0,-15,0,37:33:00,16,0.313,9,0.222,2,0.5,1,1,2,11,1,0,2,0,13,11.1,-11
1,1,0,36:47:00,21,0.429,8,0.375,7,0.857,0,1,1,5,0,0,4,4,27,13.7,10
1,10,1,37:16:00,20,0.45,8,0.25,13,0.846,1,4,5,13,1,1,3,1,31,29.1,11
1,15,1,36:26:00,21,0.619,13,0.538,3,1,0,3,3,6,1,0,5,1,36,27.2,28
1,7,1,38:02:00,25,0.4,12,0.25,9,0.667,0,3,3,7,1,1,3,0,29,18.8,5
0,-8,1,36:53:00,21,0.286,10,0,6,1,0,3,3,7,2,0,3,1,18,10.1,-14
0,-6,0,37:28:00,21,0.476,13,0.538,8,0.875,1,3,4,8,0,0,1,4,34,27.5,-26
0,-8,1,39:17:00,17,0.412,13,0.308,14,0.929,0,2,2,9,1,1,3,4,31,25.5,-5
0,-6,1,38:07:00,20,0.5,12,0.417,12,0.667,1,4,5,7,1,0,2,1,33,26.8,3
0,-24,0,35:24:00,20,0.25,8,0.125,0,,1,9,10,8,1,0,2,1,11,6.6,-10
1,19,0,34:16:00,20,0.5,6,0.333,14,0.929,0,3,3,3,1,0,1,1,35,27.2,29
0,-11,0,41:39:00,22,0.5,12,0.5,7,0.857,0,1,1,12,3,0,3,1,34,30.9,-13
1,2,0,36:58:00,11,0.455,7,0.571,6,1,0,4,4,9,0,2,4,0,20,19.2,8
0,-14,0,29:37:00,18,0.333,10,0.3,6,0.833,2,2,4,8,0,0,0,0,20,17,-15
0,-21,1,35:01:00,20,0.5,8,0.375,3,1,1,2,3,5,0,0,3,2,26,17,-12
1,3,1,35:36:00,16,0.625,10,0.5,7,0.714,0,3,3,9,0,0,4,1,30,24.8,-7
1,10,0,37:48:00,20,0.4,8,0.125,8,1,1,6,7,7,2,0,1,3,25,21.4,4
0,-8,0,39:46:00,25,0.52,10,0.3,7,0.714,0,1,1,10,2,0,4,1,34,25.8,-5
0,-13,0,35:56:00,23,0.435,12,0.417,12,0.75,0,0,0,6,1,0,4,2,34,21.1,-16
1,5,1,45:08:00,37,0.459,20,0.55,16,1,0,10,10,7,1,0,2,1,61,48.4,13
