Outcome,Diff,Home,MP,FGA,FG%,3PA,3P%,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,-6,1,36:26:00,13,0.154,8,0.125,14,1,2,5,7,14,1,1,7,5,19,16.1,-3
1,3,1,36:05:00,29,0.276,18,0.111,12,0.917,0,4,4,5,1,0,8,3,29,8,7
1,4,1,36:52:00,21,0.381,14,0.214,22,0.955,0,3,3,7,1,1,4,5,40,29.6,-4
1,1,0,37:30:00,32,0.563,14,0.429,18,0.944,1,2,3,9,1,0,4,3,59,46.8,6
0,-7,0,36:39:00,31,0.323,16,0.125,15,0.933,2,3,5,8,0,0,5,3,36,19.6,-14
0,-29,0,26:26:00,14,0.429,9,0.333,14,1,1,3,4,3,1,0,6,4,29,18.7,-17
1,7,0,37:15:00,28,0.429,16,0.438,18,0.722,4,6,10,6,2,1,7,2,44,30.9,10
1,17,1,35:18:00,23,0.435,16,0.375,13,0.769,0,4,4,13,3,3,5,1,36,32.7,20
1,23,0,35:48:00,27,0.444,19,0.474,11,0.818,1,9,10,9,2,0,6,1,42,32.4,36
1,6,0,38:16:00,25,0.52,11,0.273,14,0.714,0,4,4,9,2,1,6,4,39,27.7,-4
1,9,1,44:27:00,26,0.462,13,0.538,17,0.941,0,6,6,7,3,0,6,0,47,36.9,10
1,9,1,40:27:00,26,0.5,14,0.429,14,0.857,0,8,8,5,4,0,3,4,44,35.5,18
1,20,0,38:41:00,41,0.39,22,0.364,11,0.818,1,5,6,6,0,0,5,4,49,25.7,16
1,24,1,33:06:00,19,0.579,10,0.5,10,0.9,1,5,6,5,1,1,3,4,36,29.5,27
0,-10,0,37:06:00,16,0.5,8,0.5,10,0.7,1,6,7,7,3,0,8,4,27,18.6,-17
0,-3,0,42:20:00,16,0.563,11,0.455,18,0.778,0,8,8,12,2,0,4,4,37,35,6
0,-14,1,41:17:00,24,0.458,15,0.133,10,0.8,1,8,9,11,1,0,6,5,32,22.6,-12
1,9,1,35:15:00,23,0.391,17,0.412,10,0.9,2,4,6,5,1,1,2,0,34,26.9,11
1,47,1,30:41:00,24,0.667,14,0.571,23,0.87,0,3,3,8,3,1,5,3,60,52.4,50
0,-2,0,48:31:00,37,0.297,20,0.2,24,1,3,6,9,6,4,0,5,4,50,34,-3
1,10,0,40:24:00,11,0.636,5,0.6,6,1,0,7,7,3,5,1,4,5,23,22,7
1,6,1,39:04:00,27,0.296,17,0.176,18,0.833,2,4,6,4,3,1,0,3,34,25,9
0,-1,1,39:53:00,19,0.421,10,0.3,8,1,0,4,4,10,2,1,8,4,27,18.2,-6
1,6,0,41:16:00,34,0.588,18,0.556,5,1,0,3,3,8,2,2,6,3,55,41.9,10
1,23,0,36:14:00,31,0.613,15,0.667,6,1,2,3,5,7,2,3,3,5,54,46.2,21
