Outcome,Diff,Home,MP,FGA,FG%,3PA,3P%,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,-10,0,36:00:00,19,0.368,5,0.2,4,0.75,1,9,10,8,1,1,5,3,18,11.6,-8
1,9,1,30:34:00,22,0.545,4,0.25,8,0.875,2,5,7,10,1,0,1,0,32,30.9,17
1,19,1,35:01:00,14,0.5,3,0.333,5,1,1,5,6,12,1,0,4,0,20,20.6,17
1,29,1,28:19:00,15,0.533,5,0.4,7,0.714,0,2,2,8,0,1,6,0,23,15.8,2
1,9,0,42:32:00,23,0.565,9,0.444,11,0.818,0,12,12,16,4,1,4,5,39,40.8,15
1,7,0,37:18:00,23,0.348,6,0,10,0.5,1,10,11,13,2,1,5,2,21,15.8,15
1,6,0,35:11:00,19,0.526,6,0.333,9,0.889,0,10,10,11,2,1,2,3,30,30.5,17
1,15,1,36:03:00,19,0.526,7,0.571,2,0.5,1,3,4,6,0,0,3,2,25,17.3,16
0,-9,1,35:20:00,15,0.333,2,0,6,0.5,3,10,13,15,0,1,2,0,13,17.6,-6
1,8,0,37:04:00,18,0.444,4,0.25,7,0.286,0,7,7,11,0,0,1,0,19,16.4,-2
1,26,1,26:29:00,21,0.524,5,0.2,1,0,2,4,6,12,1,1,4,1,23,20.6,13
1,2,1,38:40:00,20,0.5,7,0.286,7,1,3,1,4,11,3,0,2,1,29,29.7,13
1,21,1,33:07:00,21,0.619,10,0.6,1,1,0,7,7,12,1,1,0,1,33,35.3,30
1,5,1,37:08:00,21,0.476,5,0.4,5,0.6,0,11,11,10,2,0,7,2,25,18,6
1,3,0,35:37:00,20,0.45,3,0.333,6,0.667,1,5,6,14,1,1,5,2,23,19.7,3
1,1,0,38:50:00,27,0.519,9,0.222,0,,1,5,6,4,2,0,5,1,30,18.3,7
1,10,0,35:08:00,24,0.542,7,0.571,8,0.375,1,3,4,14,0,1,3,2,33,27.7,6
1,4,0,37:35:00,18,0.556,6,0.333,11,0.636,2,3,5,11,2,1,5,2,29,25.7,3
1,22,1,24:36:00,16,0.563,8,0.5,2,0.5,0,3,3,11,2,1,6,1,23,19.9,20
0,-14,1,36:25:00,20,0.55,5,0,3,1,0,9,9,8,4,0,6,3,25,20.5,-16
1,9,0,36:53:00,18,0.5,4,0.25,6,1,2,4,6,9,0,0,4,3,25,19.7,4
1,25,0,29:28:00,21,0.429,6,0.167,1,1,0,4,4,12,1,0,1,3,20,17.3,14
1,23,0,33:45:00,23,0.478,9,0.444,7,0.714,1,6,7,8,0,1,3,1,31,23.9,21
1,17,1,27:51:00,20,0.6,8,0.75,2,1,1,3,4,13,1,0,5,4,32,27.9,24
1,9,0,37:55:00,24,0.458,6,0.167,5,0.4,2,9,11,10,2,0,6,2,25,17.7,8
1,3,0,37:26:00,22,0.5,8,0.5,4,0.5,2,7,9,12,1,0,8,2,28,20.3,9
1,5,0,36:56:00,21,0.571,10,0.4,7,0.571,1,12,13,7,1,3,4,1,32,28.8,10
0,-3,0,34:54:00,20,0.4,6,0,8,0.5,1,8,9,9,0,0,5,2,20,11.2,-9
0,-7,0,36:44:00,19,0.421,7,0.429,2,1,0,12,12,11,0,0,4,5,21,16.2,-14
0,-5,1,38:50:00,24,0.375,12,0.167,4,0.75,3,6,9,10,2,1,2,3,23,19.8,3
1,8,0,36:44:00,15,0.467,4,0.25,8,0.75,1,6,7,16,2,1,1,2,21,27.1,5
1,13,1,34:19:00,10,0.3,4,0.5,6,0.833,0,6,6,13,2,0,2,2,13,16.9,5
1,10,1,38:04:00,21,0.524,4,0.25,12,0.667,2,11,13,12,2,1,5,0,31,29.9,18
1,10,1,37:13:00,17,0.412,3,0.333,5,0.4,0,8,8,15,2,0,2,1,17,19.2,17
1,7,1,35:01:00,21,0.476,3,0,2,0.5,3,11,14,11,0,0,3,2,21,19.2,23
1,30,1,31:26:00,19,0.474,12,0.5,7,1,0,5,5,5,2,1,4,2,31,24.2,26
1,15,0,32:16:00,25,0.56,6,0.5,5,0.8,2,14,16,7,1,0,3,0,35,31.2,13
1,29,1,32:43:00,16,0.75,3,0.333,7,0.857,0,2,2,8,1,0,3,2,31,27.6,19
