Home,Outcome,Diff,MP,FGA,FG%,3PA,3P%,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,8,33:31:00,19,0.632,9,0.444,8,0.75,1,8,9,3,2,0,6,4,34,24.3,0
0,1,7,37:41:00,19,0.526,9,0.333,2,1,1,9,10,10,2,0,3,1,25,24.7,12
1,0,-2,37:42:00,22,0.364,11,0.182,14,0.786,1,11,12,9,3,0,4,4,29,23.3,5
0,1,3,32:30:00,12,0.25,6,0.167,8,0.625,2,2,4,5,2,0,4,1,12,6.7,-17
1,0,-9,38:08:00,23,0.435,9,0.444,8,0.875,1,12,13,15,0,1,6,3,31,26.8,-4
0,1,20,33:33:00,17,0.529,10,0.5,6,1,4,10,14,15,0,0,5,2,29,31.2,15
1,1,1,37:26:00,21,0.476,7,0.143,7,0.857,2,5,7,7,0,0,6,3,27,16.5,6
1,0,-4,35:13:00,26,0.5,11,0.273,9,1,1,13,14,10,0,0,8,5,38,26.6,-5
0,1,16,28:41:00,16,0.563,6,0.333,5,0.8,3,11,14,8,2,0,2,0,24,27,1
0,0,-10,33:47:00,21,0.524,10,0.3,10,0.9,0,6,6,9,0,0,1,2,34,29.6,-17
0,0,-3,35:32:00,23,0.435,12,0.25,13,0.769,1,9,10,11,3,1,3,1,33,31.1,-3
1,1,8,35:37:00,14,0.357,5,0.2,19,0.789,3,12,15,7,2,0,7,1,26,21.8,14
1,1,7,35:15:00,27,0.519,13,0.385,13,0.692,2,9,11,12,0,0,5,5,42,32.6,11
1,1,48,25:30:00,18,0.611,10,0.6,8,0.875,1,9,10,11,4,0,5,3,35,35.3,45
1,1,42,28:29:00,18,0.611,8,0.5,4,1,0,7,7,14,0,0,2,2,30,30.9,21
0,1,14,34:26:00,30,0.5,14,0.357,8,0.75,0,6,6,10,2,1,5,3,41,30.5,21
1,0,-15,34:31:00,14,0.286,8,0,16,0.875,2,6,8,6,3,0,7,4,22,14.8,-7
0,1,7,37:33:00,24,0.5,11,0.273,18,0.833,2,7,9,11,1,0,2,4,42,37.4,3
0,1,14,32:41:00,23,0.435,10,0.4,3,1,2,7,9,10,3,0,7,1,27,21,5
0,1,21,28:29:00,18,0.5,12,0.417,13,0.769,2,16,18,5,0,0,4,0,33,28.5,16
1,1,7,31:39:00,22,0.364,8,0.125,8,0.625,0,7,7,6,0,0,5,2,22,9.1,-16
